time_s,phase,command_height_m,base_height_m,joint_0_pos,joint_1_pos,joint_2_pos,joint_3_pos,joint_4_pos,joint_5_pos,joint_6_pos,joint_7_pos,joint_8_pos,joint_9_pos,joint_10_pos,joint_11_pos,joint_12_pos,joint_13_pos,joint_14_pos,joint_15_pos,joint_0_target,joint_1_target,joint_2_target,joint_3_target,joint_4_target,joint_5_target,joint_6_target,joint_7_target,joint_8_target,joint_9_target,joint_10_target,joint_11_target,joint_12_target,joint_13_target,joint_14_target,joint_15_target
2.28500009,height_interpolation,0.25909340,0.46110576,-0.04170793,-1.02945447,2.15923548,3.89229536,0.04181486,-1.02948952,2.15961766,3.85702062,-0.04030627,1.03094840,-2.15951061,2.75617170,0.03943303,1.03080487,-2.15761065,2.72821641,0.00000000,-1.02606678,2.05213356,0.00000000,-0.00000000,-1.02606678,2.05213356,0.00000000,0.00000000,1.02606678,-2.05213356,0.00000000,-0.00000000,1.02606678,-2.05213356,0.00000000
2.28500009,height_interpolation,0.25909340,0.46110576,-0.04170793,-1.02945447,2.15923548,3.89229536,0.04181486,-1.02948952,2.15961766,3.85702062,-0.04030627,1.03094840,-2.15951061,2.75617170,0.03943303,1.03080487,-2.15761065,2.72821641,0.00000000,-1.02606678,2.05213356,0.00000000,-0.00000000,-1.02606678,2.05213356,0.00000000,0.00000000,1.02606678,-2.05213356,0.00000000,-0.00000000,1.02606678,-2.05213356,0.00000000
2.28500009,height_interpolation,0.25909340,0.46245533,-0.04170793,-1.02945447,2.15923548,3.89229536,0.04181486,-1.02948952,2.15961766,3.85702062,-0.04030627,1.03094840,-2.15951061,2.75617170,0.03943303,1.03080487,-2.15761065,2.72821641,0.00000000,-1.02606678,2.05213356,0.00000000,-0.00000000,-1.02606678,2.05213356,0.00000000,0.00000000,1.02606678,-2.05213356,0.00000000,-0.00000000,1.02606678,-2.05213356,0.00000000
2.28999996,height_interpolation,0.26039013,0.46245533,-0.04152417,-1.02661967,2.15323520,3.89528990,0.04162842,-1.02665293,2.15362287,3.85998368,-0.04013595,1.02812076,-2.15351558,2.75356388,0.03925514,1.02797198,-2.15161824,2.72561073,0.00000000,-1.02303159,2.04606342,0.00000000,-0.00000000,-1.02303159,2.04606342,0.00000000,0.00000000,1.02303159,-2.04606342,0.00000000,-0.00000000,1.02303159,-2.04606342,0.00000000
2.28999996,height_interpolation,0.26039013,0.46245533,-0.04152417,-1.02661967,2.15323520,3.89528990,0.04162842,-1.02665293,2.15362287,3.85998368,-0.04013595,1.02812076,-2.15351558,2.75356388,0.03925514,1.02797198,-2.15161824,2.72561073,0.00000000,-1.02303159,2.04606342,0.00000000,-0.00000000,-1.02303159,2.04606342,0.00000000,0.00000000,1.02303159,-2.04606342,0.00000000,-0.00000000,1.02303159,-2.04606342,0.00000000
2.28999996,height_interpolation,0.26039013,0.46245533,-0.04152417,-1.02661967,2.15323520,3.89528990,0.04162842,-1.02665293,2.15362287,3.85998368,-0.04013595,1.02812076,-2.15351558,2.75356388,0.03925514,1.02797198,-2.15161824,2.72561073,0.00000000,-1.02303159,2.04606342,0.00000000,-0.00000000,-1.02303159,2.04606342,0.00000000,0.00000000,1.02303159,-2.04606342,0.00000000,-0.00000000,1.02303159,-2.04606342,0.00000000
2.28999996,height_interpolation,0.26039013,0.46245533,-0.04152417,-1.02661967,2.15323520,3.89528990,0.04162842,-1.02665293,2.15362287,3.85998368,-0.04013595,1.02812076,-2.15351558,2.75356388,0.03925514,1.02797198,-2.15161824,2.72561073,0.00000000,-1.02303159,2.04606342,0.00000000,-0.00000000,-1.02303159,2.04606342,0.00000000,0.00000000,1.02303159,-2.04606342,0.00000000,-0.00000000,1.02303159,-2.04606342,0.00000000
2.28999996,height_interpolation,0.26039013,0.46245533,-0.04152417,-1.02661967,2.15323520,3.89528990,0.04162842,-1.02665293,2.15362287,3.85998368,-0.04013595,1.02812076,-2.15351558,2.75356388,0.03925514,1.02797198,-2.15161824,2.72561073,0.00000000,-1.02303159,2.04606342,0.00000000,-0.00000000,-1.02303159,2.04606342,0.00000000,0.00000000,1.02303159,-2.04606342,0.00000000,-0.00000000,1.02303159,-2.04606342,0.00000000
2.28999996,height_interpolation,0.26039013,0.46245533,-0.04152417,-1.02661967,2.15323520,3.89528990,0.04162842,-1.02665293,2.15362287,3.85998368,-0.04013595,1.02812076,-2.15351558,2.75356388,0.03925514,1.02797198,-2.15161824,2.72561073,0.00000000,-1.02303159,2.04606342,0.00000000,-0.00000000,-1.02303159,2.04606342,0.00000000,0.00000000,1.02303159,-2.04606342,0.00000000,-0.00000000,1.02303159,-2.04606342,0.00000000
2.28999996,height_interpolation,0.26039013,0.46245533,-0.04152417,-1.02661967,2.15323520,3.89528990,0.04162842,-1.02665293,2.15362287,3.85998368,-0.04013595,1.02812076,-2.15351558,2.75356388,0.03925514,1.02797198,-2.15161824,2.72561073,0.00000000,-1.02303159,2.04606342,0.00000000,-0.00000000,-1.02303159,2.04606342,0.00000000,0.00000000,1.02303159,-2.04606342,0.00000000,-0.00000000,1.02303159,-2.04606342,0.00000000
2.28999996,height_interpolation,0.26039013,0.46245533,-0.04152417,-1.02661967,2.15323520,3.89528990,0.04162842,-1.02665293,2.15362287,3.85998368,-0.04013595,1.02812076,-2.15351558,2.75356388,0.03925514,1.02797198,-2.15161824,2.72561073,0.00000000,-1.02303159,2.04606342,0.00000000,-0.00000000,-1.02303159,2.04606342,0.00000000,0.00000000,1.02303159,-2.04606342,0.00000000,-0.00000000,1.02303159,-2.04606342,0.00000000
2.29500008,height_interpolation,0.26168597,0.46381065,-0.04134366,-1.02374482,2.14719892,3.89822721,0.04144302,-1.02377594,2.14759088,3.86289001,-0.03996867,1.02525306,-2.14748383,2.75101256,0.03907829,1.02509892,-2.14558816,2.72306037,0.00000000,-1.01999307,2.03998590,0.00000000,-0.00000000,-1.01999307,2.03998590,0.00000000,0.00000000,1.01999307,-2.03998590,0.00000000,-0.00000000,1.01999307,-2.03998590,0.00000000
2.29500008,height_interpolation,0.26168597,0.46381065,-0.04134366,-1.02374482,2.14719892,3.89822721,0.04144302,-1.02377594,2.14759088,3.86289001,-0.03996867,1.02525306,-2.14748383,2.75101256,0.03907829,1.02509892,-2.14558816,2.72306037,0.00000000,-1.01999307,2.03998590,0.00000000,-0.00000000,-1.01999307,2.03998590,0.00000000,0.00000000,1.01999307,-2.03998590,0.00000000,-0.00000000,1.01999307,-2.03998590,0.00000000
2.29500008,height_interpolation,0.26168597,0.46381065,-0.04134366,-1.02374482,2.14719892,3.89822721,0.04144302,-1.02377594,2.14759088,3.86289001,-0.03996867,1.02525306,-2.14748383,2.75101256,0.03907829,1.02509892,-2.14558816,2.72306037,0.00000000,-1.01999307,2.03998590,0.00000000,-0.00000000,-1.01999307,2.03998590,0.00000000,0.00000000,1.01999307,-2.03998590,0.00000000,-0.00000000,1.01999307,-2.03998590,0.00000000
2.29500008,height_interpolation,0.26168597,0.46381065,-0.04134366,-1.02374482,2.14719892,3.89822721,0.04144302,-1.02377594,2.14759088,3.86289001,-0.03996867,1.02525306,-2.14748383,2.75101256,0.03907829,1.02509892,-2.14558816,2.72306037,0.00000000,-1.01999307,2.03998590,0.00000000,-0.00000000,-1.01999307,2.03998590,0.00000000,0.00000000,1.01999307,-2.03998590,0.00000000,-0.00000000,1.01999307,-2.03998590,0.00000000
